user,item,skill,correct,wins,fails
878,85486,46,1,1,1
508,97555,99,0,0,0
38,54067,81,1,0,1
2651,85462,46,1,1,0
2940,53836,80,1,0,0
66,66478,33,1,1,1
56,85748,33,1,2,5
1569,49276,38,0,0,0
1508,49290,38,1,0,0
1570,54063,81,1,0,1
1569,49271,38,1,3,3
139,54608,82,0,1,0
610,66535,33,1,4,1
634,65637,34,1,3,1
119,86354,83,1,0,0
2146,54466,82,1,4,1
80,89747,80,1,0,1
888,51108,98,1,9,5
678,89857,80,1,8,0
2928,51114,98,1,8,2
889,51075,98,0,0,3
895,51128,98,1,9,7
121,90603,82,1,1,1
133,90239,82,1,1,0
889,89020,69,1,0,0
132,90206,82,1,1,0
1862,71722,19,0,0,0
1871,71684,19,0,1,3
2703,87459,54,0,0,2
2951,51096,98,1,23,11
199,57599,8,0,0,1
200,50995,98,0,2,2
696,53011,33,1,0,0
692,66511,33,1,4,0
699,66322,34,1,4,0
59,51174,97,1,0,0
888,87027,39,1,1,0
151,78878,35,1,2,0
3546,89829,80,1,5,0
3546,90633,82,1,1,0
3543,90022,82,0,12,3
2988,90413,82,1,1,0
2988,90202,82,1,5,0
2987,90076,82,1,7,0
2989,53709,46,1,3,1
107,66361,33,1,0,0
2955,87026,39,1,0,0
101,66662,35,1,7,6
928,54019,81,0,0,0
3716,53995,81,0,0,1
928,53987,81,0,1,2
5,54007,81,0,1,0
5,54031,81,1,3,1
3664,58810,83,1,0,1
15,54579,82,1,2,2
1118,54047,81,0,0,1
9,58807,83,1,0,0
984,54145,43,1,0,1
11,90718,82,1,2,0
68,90443,82,1,0,0
68,90238,82,1,1,0
107,66163,33,1,7,2
112,97892,34,1,1,0
60,61102,31,1,2,0
10,54123,43,1,3,2
139,60113,48,0,0,4
2199,60148,48,0,1,1
2074,86231,42,0,3,1
119,85926,31,1,0,1
930,65359,33,1,1,3
146,51111,98,0,1,6
60,54433,82,1,3,0
146,61691,52,0,0,0
2206,89862,80,0,8,11
